"Format","AiM CSV File"
"Session","Sodegaura"
"Vehicle","RS660"
"Racer","Mao"
"Championship",""
"Comment","Ripa"
"Date","Saturday, April 25, 2026"
"Time","2:58 PM"
"Sample Rate","20"
"Duration","977.993"
"Segment","Session"
"Beacon Markers","303.381","388.57","473.951","562.23","649.566","733.329","818.162","977.993"
"Segment Times","5:03.381","1:25.189","1:25.381","1:28.279","1:27.336","1:23.763","1:24.833","2:39.831"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM dup 2","Throttle","Gear","Speed Rear","Lean Angle","Engine Brake"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","%","gear","km/h","deg","#"

"1.100","0.4388","13","0.0000","0.0000","-42.5015","91.7026","0.0000","145.3067","10.1000","0.1968","10000.0000","35.39478092","140.08804322","2822.7327","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.150","0.3945","14","0.0000","0.0000","-46.6687","99.1255","0.0000","145.2965","10.1000","0.1900","10000.0000","35.39478086","140.08804318","2546.4951","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.200","0.3472","14","0.0000","0.0000","-50.3115","135.9191","0.0000","145.2988","10.1000","0.1735","10000.0000","35.39478084","140.08804321","2378.1001","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.250","0.3077","13","0.0000","0.0000","-57.2834","116.2954","0.0000","145.3004","10.1000","0.1800","10000.0000","35.39478086","140.08804307","2281.6001","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.300","0.3169","14","0.0000","0.0000","-49.9359","90.7382","0.0000","145.3048","10.1000","0.1800","10000.0000","35.39478090","140.08804322","2138.6001","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.350","0.3262","14","0.0000","0.0000","-48.3624","101.3608","0.0000","145.2976","10.1000","0.1857","10000.0000","35.39478081","140.08804322","1964.6000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.400","0.3443","13","0.0000","0.0000","-51.4992","75.9149","0.0000","145.2719","10.1000","0.1817","10000.0000","35.39478092","140.08804331","1830.5000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.450","0.3673","13","0.0000","0.0000","-54.6929","80.9156","0.0000","145.2482","10.1000","0.1807","10000.0000","35.39478094","140.08804352","1723.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.500","0.4457","13","0.0000","0.0000","-45.4383","89.1711","0.0000","145.2159","10.1000","0.1900","10000.0000","35.39478084","140.08804378","1659.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.550","0.5320","13","0.0000","0.0000","-38.2920","88.5808","0.0000","145.2154","10.1000","0.1957","10000.0000","35.39478084","140.08804379","1624.0000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.600","0.5409","13","0.0000","0.0000","-41.9208","95.7242","0.0000","145.2042","10.1000","0.1918","10000.0000","35.39478082","140.08804389","1564.1000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.650","0.5091","13","0.0000","0.0000","-43.5983","88.1025","0.0000","145.1732","10.2000","0.1900","10000.0000","35.39478078","140.08804403","1487.6000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.700","0.5908","13","0.0000","0.0000","-39.2067","110.5147","0.0000","145.1651","10.2000","0.1900","10000.0000","35.39478080","140.08804423","1455.2178","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.750","0.4977","13","0.0000","0.0000","-51.5768","85.3167","0.0000","145.1364","10.2000","0.1785","10000.0000","35.39478084","140.08804436","1452.2476","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.800","0.4470","13","0.0000","0.0000","-63.9586","117.4461","0.0000","145.1152","10.2000","0.1618","10000.0000","35.39478075","140.08804444","1487.5400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.850","0.4535","13","0.0000","0.0000","-57.1244","100.0205","0.0000","145.1290","10.2000","0.1715","10000.0000","35.39478073","140.08804429","1550.5400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.900","0.5311","13","0.0000","0.0000","-43.1018","99.5853","0.0000","145.1384","10.2000","0.1900","10000.0000","35.39478071","140.08804433","1547.4200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"1.950","0.5024","13","0.0000","0.0000","-44.3102","104.3993","0.0000","145.1461","10.2000","0.1842","10000.0000","35.39478067","140.08804431","1496.4200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.000","0.4822","13","0.0000","0.0000","-40.8217","105.9666","0.0000","145.1605","10.2000","0.1883","10000.0000","35.39478062","140.08804433","1496.7500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.050","0.3406","13","0.0000","0.0000","-63.7469","123.4021","0.0000","145.1546","10.2000","0.1600","10000.0000","35.39478067","140.08804411","1534.2500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.100","0.3625","13","0.0000","0.0000","-65.7384","67.1691","0.0000","145.1264","10.2000","0.1600","10000.0000","35.39478071","140.08804423","1579.8700","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.150","0.3856","12","0.0000","0.0000","-67.6586","81.4332","0.0000","145.0983","10.2000","0.1600","10000.0000","35.39478076","140.08804436","1631.3700","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.200","0.3619","12","0.0000","0.0000","-67.7816","140.0299","0.0000","145.0977","10.2000","0.1517","10000.0000","35.39478062","140.08804432","1652.1300","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.250","0.3243","12","0.0000","0.0000","-70.3900","114.5901","0.0000","145.1153","10.2000","0.1600","10000.0000","35.39478060","140.08804430","1650.6300","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.300","0.3324","13","0.0000","0.0000","-69.3728","89.5911","0.0000","145.0894","10.2000","0.1567","10000.0000","35.39478073","140.08804447","1619.8400","0.0000","0.0000","0.0000","-0.0001","1.0000"
